City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
718,Tome-Acu,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
719,Goshogawara,JP,55.8,light rain,35.7333,140.8333,Hotel Sunrise Choshi
720,Guigue,VE,77.76,overcast clouds,8.0086,-62.3989,Posada Villa Nela
722,Summerville,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
723,Tuatapere,NZ,70.16,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
725,Lindi,TZ,74.39,scattered clouds,-10.4,40.3333,
726,Beira,MZ,75.29,light rain,-19.8436,34.8389,Beira Terrace Hotel
730,Vila,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
731,Manali,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
732,Mrirt,MA,66.45,clear sky,35.174,-2.9287,Hôtel La Giralda
733,Borba,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
734,Montenegro,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
737,Namatanai,PG,84.72,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
