City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed
475,Kasangulu,CD,-2.95,25.95,69.57,light rain,100,100,1.41
476,Benin,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
477,Semme,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
478,Saint-Louis,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
479,Koindu,SL,7.5264,-12.505,77.94,moderate rain,87,100,5.91
480,Garoua Boulai,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
481,Banamba,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
482,Ejura,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
483,Fianga,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
484,Mora,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
